dataset_idx,dataset_name,traj_idx,traj_name,frame_idx,clean_target_mean_partial_rms,adv_target_mean_partial_rms,adv_delta_target_mean_partial_rms,adv_ratio_target_mean_partial_rms,adv_delta_ratio_target_mean_partial_rms
0,0,0,00000_seed_00001,0,0.0,0.0,0.0,0,0.0
0,0,0,00000_seed_00001,1,0.0030578896403312683,0.0003121862537227571,-0.002745703386608511,0.10209206035602293,0.0003121862537227571
0,0,0,00000_seed_00001,2,0.006557094398885965,0.0004652243515010923,-0.006091870047384873,0.07094977183493542,0.0004652243515010923
0,0,0,00000_seed_00001,3,0.0059420824982225895,0.004987592808902264,-0.0009544896893203259,0.8393678159793582,0.004987592808902264
0,0,0,00000_seed_00001,4,0.011282950639724731,0.016723308712244034,0.005440358072519302,1.4821751194554575,0.016723308712244034
0,0,0,00000_seed_00001,5,0.009192678146064281,0.008079647086560726,-0.0011130310595035553,0.8789220027266935,0.008079647086560726
0,0,0,00000_seed_00001,6,0.017448008060455322,0.0006940853781998158,-0.016753922682255507,0.039780207333403934,0.0006940853781998158
0,0,0,00000_seed_00001,7,0.01808357797563076,0.0003733233024831861,-0.017710254673147574,0.02064432729995539,0.0003733233024831861
0,0,1,00001_seed_00001,0,0.0,0.0,0.0,0,0.0
0,0,1,00001_seed_00001,1,-0.006204545497894287,-0.003757869591936469,0.002446675905957818,0.6056639593040012,-0.003757869591936469
0,0,1,00001_seed_00001,2,-0.016361938789486885,-0.009651731699705124,0.006710207089781761,0.5898892438044504,-0.009651731699705124
0,0,1,00001_seed_00001,3,-0.028019633144140244,-0.016833174973726273,0.011186458170413971,0.6007635748523924,-0.016833174973726273
0,0,1,00001_seed_00001,4,-0.03720727935433388,-0.02183862216770649,0.015368657186627388,0.586944881396246,-0.02183862216770649
0,0,1,00001_seed_00001,5,-0.0474771149456501,-0.028641492128372192,0.01883562281727791,0.6032694312019554,-0.028641492128372192
0,0,1,00001_seed_00001,6,-0.051235366612672806,-0.030626144260168076,0.02060922235250473,0.5977539790374576,-0.030626144260168076
0,0,1,00001_seed_00001,7,-0.047671977430582047,-0.029659440740942955,0.01801253668963909,0.6221567121718792,-0.029659440740942955
0,0,2,00002_seed_00001,0,0.0,0.0,0.0,0,0.0
0,0,2,00002_seed_00001,1,0.004612101707607508,0.00611259276047349,0.001500491052865982,1.3253378064909047,0.00611259276047349
0,0,2,00002_seed_00001,2,0.012063409201800823,0.016190463677048683,0.00412705447524786,1.3421134445668788,0.016190463677048683
0,0,2,00002_seed_00001,3,0.02023180201649666,0.029264792799949646,0.009032990783452988,1.4464748506380027,0.029264792799949646
0,0,2,00002_seed_00001,4,0.030923988670110703,0.04229829087853432,0.011374302208423615,1.367814848522996,0.04229829087853432
0,0,2,00002_seed_00001,5,0.03420906886458397,0.0476144440472126,0.013405375182628632,1.3918661228603908,0.0476144440472126
0,0,2,00002_seed_00001,6,0.03699440509080887,0.04660465195775032,0.009610246866941452,1.2597756834675815,0.04660465195775032
0,0,2,00002_seed_00001,7,0.03358271345496178,0.04019967094063759,0.006616957485675812,1.1970346289780873,0.04019967094063759
0,0,3,00003_seed_00001,0,0.0,0.0,0.0,0,0.0
0,0,3,00003_seed_00001,1,-0.004194372799247503,-0.0007025354425422847,0.0034918373567052186,0.16749475455980545,-0.0007025354425422847
0,0,3,00003_seed_00001,2,-0.006191760767251253,0.0032791830599308014,0.009470943827182055,-0.5296042891829217,0.0032791830599308014
0,0,3,00003_seed_00001,3,-0.006634321995079517,0.00779414176940918,0.014428463764488697,-1.1748211460326867,0.00779414176940918
0,0,3,00003_seed_00001,4,-0.01360939908772707,0.005103239323943853,0.018712638411670923,-0.37497903405198435,0.005103239323943853
0,0,3,00003_seed_00001,5,-0.011496167629957199,0.012809441424906254,0.024305609054863453,-1.114235790327802,0.012809441424906254
0,0,3,00003_seed_00001,6,-0.019861016422510147,0.009236345998942852,0.029097362421453,-0.46504900869396243,0.009236345998942852
0,0,3,00003_seed_00001,7,-0.03168309107422829,-0.006272854283452034,0.025410236790776253,0.1979874460088432,-0.006272854283452034
0,0,4,00004_seed_00001,0,0.0,0.0,0.0,0,0.0
0,0,4,00004_seed_00001,1,0.008720526471734047,0.008288625627756119,-0.00043190084397792816,0.9504730768976101,0.008288625627756119
0,0,4,00004_seed_00001,2,0.01590762846171856,0.014057372696697712,-0.0018502557650208473,0.8836875170001954,0.014057372696697712
0,0,4,00004_seed_00001,3,0.023876000195741653,0.019954873248934746,-0.003921126946806908,0.8357711964038997,0.019954873248934746
0,0,4,00004_seed_00001,4,0.029907122254371643,0.02566426433622837,-0.004242857918143272,0.8581321906515738,0.02566426433622837
0,0,4,00004_seed_00001,5,0.03960830345749855,0.033068928867578506,-0.006539374589920044,0.8348988969715131,0.033068928867578506
0,0,4,00004_seed_00001,6,0.04719951003789902,0.04155203700065613,-0.005647473037242889,0.8803489054715138,0.04155203700065613
0,0,4,00004_seed_00001,7,0.06021980941295624,0.05680270120501518,-0.0034171082079410553,0.9432560773397953,0.05680270120501518
0,0,5,00005_seed_00001,0,0.0,0.0,0.0,0,0.0
0,0,5,00005_seed_00001,1,0.027884429320693016,0.02981063351035118,0.001926204189658165,1.06907812842448,0.02981063351035118
0,0,5,00005_seed_00001,2,0.053074125200510025,0.054751086980104446,0.0016769617795944214,1.0315965976501542,0.054751086980104446
0,0,5,00005_seed_00001,3,0.07467590272426605,0.0780397281050682,0.0033638253808021545,1.0450456607564929,0.0780397281050682
