dataset_idx,dataset_name,traj_idx,traj_name,frame_idx,clean_target_rms,adv_target_rms,adv_delta_target_rms,adv_ratio_target_rms,adv_delta_ratio_target_rms
0,0,0,00000_seed_00001,0,0.0,0.0,0.0,0,0.0
0,0,0,00000_seed_00001,1,0.011425302363932133,-0.015484475530683994,-0.026909777894616127,-1.3552792772965052,-0.015484475530683994
0,0,0,00000_seed_00001,2,0.002969025168567896,-0.03273293375968933,-0.03570195892825723,-11.024808447642094,-0.03273293375968933
0,0,0,00000_seed_00001,3,-0.010877684690058231,-0.042691998183727264,-0.03181431349366903,3.924732091448288,-0.042691998183727264
0,0,0,00000_seed_00001,4,0.0051257614977657795,-0.0009019040735438466,-0.006027665571309626,-0.17595513836080146,-0.0009019040735438466
0,0,0,00000_seed_00001,5,-0.00571891525760293,-0.010427390225231647,-0.004708474967628717,1.8233160932694539,-0.010427390225231647
0,0,0,00000_seed_00001,6,0.026952244341373444,-0.01508962269872427,-0.042041867040097713,-0.559865164013845,-0.01508962269872427
0,0,0,00000_seed_00001,7,0.01808357797563076,0.0003733233024831861,-0.017710254673147574,0.02064432729995539,0.0003733233024831861
0,0,1,00001_seed_00001,0,0.0,0.0,0.0,0,0.0
0,0,1,00001_seed_00001,1,0.031691774725914,0.016269885003566742,-0.01542188972234726,0.5133787913197251,0.016269885003566742
0,0,1,00001_seed_00001,2,0.01662558503448963,0.006588751450181007,-0.010036833584308624,0.3963019308200403,0.006588751450181007
0,0,1,00001_seed_00001,3,-0.010468430817127228,-0.008078806102275848,0.0023896247148513794,0.771730380933334,-0.008078806102275848
0,0,1,00001_seed_00001,4,-0.0184001587331295,-0.010736490599811077,0.007663668133318424,0.5834998901656221,-0.010736490599811077
0,0,1,00001_seed_00001,5,-0.025226853787899017,-0.019851284101605415,0.005375569686293602,0.7869108160894724,-0.019851284101605415
0,0,1,00001_seed_00001,6,-0.024350425228476524,-0.016745509579777718,0.007604915648698807,0.6876885895279864,-0.016745509579777718
0,0,1,00001_seed_00001,7,-0.047671977430582047,-0.029659440740942955,0.01801253668963909,0.6221567121718792,-0.029659440740942955
0,0,2,00002_seed_00001,0,0.0,0.0,0.0,0,0.0
0,0,2,00002_seed_00001,1,-0.017042959108948708,-0.021302292123436928,-0.00425933301448822,1.2499174578346421,-0.021302292123436928
0,0,2,00002_seed_00001,2,-0.01346543524414301,-0.014949849806725979,-0.0014844145625829697,1.110238884645681,-0.014949849806725979
0,0,2,00002_seed_00001,3,-0.02397272363305092,-0.02346891723573208,0.00050380639731884,0.9789841819798795,-0.02346891723573208
0,0,2,00002_seed_00001,4,-0.0020436609629541636,0.0011283018393442035,0.003171962802298367,-0.5520983469357924,0.0011283018393442035
0,0,2,00002_seed_00001,5,0.015431597828865051,0.03301907703280449,0.017587479203939438,2.139705648046489,0.03301907703280449
0,0,2,00002_seed_00001,6,0.023521995171904564,0.03061158023774624,0.007089585065841675,1.3014023688904461,0.03061158023774624
0,0,2,00002_seed_00001,7,0.03358271345496178,0.04019967094063759,0.006616957485675812,1.1970346289780873,0.04019967094063759
0,0,3,00003_seed_00001,0,0.0,0.0,0.0,0,0.0
0,0,3,00003_seed_00001,1,-0.008589033037424088,-0.017105797305703163,-0.008516764268279076,1.9915859248846612,-0.017105797305703163
0,0,3,00003_seed_00001,2,-0.01504394132643938,-0.017593739554286003,-0.0025497982278466225,1.169490040709306,-0.017593739554286003
0,0,3,00003_seed_00001,3,-0.01720396801829338,-0.017365477979183197,-0.00016150996088981628,1.0093879482174157,-0.017365477979183197
0,0,3,00003_seed_00001,4,-0.03837083652615547,-0.03644035756587982,0.00193047896027565,0.9496889008672058,-0.03644035756587982
0,0,3,00003_seed_00001,5,-0.010607338510453701,0.001826249761506915,0.012433588271960616,-0.17216851896515953,0.001826249761506915
0,0,3,00003_seed_00001,6,-0.016728965565562248,0.007663622498512268,0.024392588064074516,-0.45810498374677594,0.007663622498512268
0,0,3,00003_seed_00001,7,-0.03168309107422829,-0.006272854283452034,0.025410236790776253,0.1979874460088432,-0.006272854283452034
0,0,4,00004_seed_00001,0,0.0,0.0,0.0,0,0.0
0,0,4,00004_seed_00001,1,0.02509436197578907,0.024644721299409866,-0.0004496406763792038,0.9820820040448521,0.024644721299409866
0,0,4,00004_seed_00001,2,0.03342219814658165,0.029413877055048943,-0.004008321091532707,0.8800700937157638,0.029413877055048943
0,0,4,00004_seed_00001,3,0.054707933217287064,0.038694579154253006,-0.016013354063034058,0.7072937484325578,0.038694579154253006
0,0,4,00004_seed_00001,4,0.05522690340876579,0.04172520339488983,-0.013501700013875961,0.7555231385337291,0.04172520339488983
0,0,4,00004_seed_00001,5,0.05759451165795326,0.04497641697525978,-0.012618094682693481,0.7809149809684853,0.04497641697525978
0,0,4,00004_seed_00001,6,0.05935078114271164,0.05065533146262169,-0.00869544968008995,0.853490560483419,0.05065533146262169
0,0,4,00004_seed_00001,7,0.06021980941295624,0.05680270120501518,-0.0034171082079410553,0.9432560773397953,0.05680270120501518
0,0,5,00005_seed_00001,0,0.0,0.0,0.0,0,0.0
0,0,5,00005_seed_00001,1,0.021359536796808243,0.04795246198773384,0.026592925190925598,2.2450141332137585,0.04795246198773384
0,0,5,00005_seed_00001,2,0.056376863270998,0.0695418268442154,0.013164963573217392,1.2335171346787195,0.0695418268442154
0,0,5,00005_seed_00001,3,0.055894430726766586,0.06488997489213943,0.008995544165372849,1.1609381122306535,0.06488997489213943
0,0,5,00005_seed_00001,4,0.10116953402757645,0.11367414146661758,0.012504607439041138,1.1236005242016107,0.11367414146661758
