dataset_idx,dataset_name,traj_idx,traj_name,frame_idx,clean_mean_partial_rms,adv_mean_partial_rms,adv_delta_mean_partial_rms,adv_ratio_mean_partial_rms,adv_delta_ratio_mean_partial_rms
0,0,0,00000_seed_00001,0,0.0,0.0,0.0,0,0.0
0,0,0,00000_seed_00001,1,0.1032392755150795,0.16720083355903625,0.06396155804395676,1.6195467541286097,0.16720083355903625
0,0,0,00000_seed_00001,2,0.1280590444803238,0.2552749812602997,0.1272159367799759,1.9934162580724437,0.2552749812602997
0,0,0,00000_seed_00001,3,0.16490110754966736,0.3308159410953522,0.16591483354568481,2.0061474783952686,0.3308159410953522
0,0,0,00000_seed_00001,4,0.2124132364988327,0.4510936737060547,0.23868043720722198,2.1236608468537392,0.4510936737060547
0,0,0,00000_seed_00001,5,0.2376306802034378,0.5349259376525879,0.2972952574491501,2.2510811196375524,0.5349259376525879
0,0,0,00000_seed_00001,6,0.31947410106658936,0.7143031358718872,0.39482903480529785,2.2358718077212836,0.7143031358718872
0,0,0,00000_seed_00001,7,0.3928028345108032,0.9278540015220642,0.535051167011261,2.362136726120151,0.9278540015220642
0,0,1,00001_seed_00001,0,0.0,0.0,0.0,0,0.0
0,0,1,00001_seed_00001,1,0.08854274451732635,0.13460035622119904,0.04605761170387268,1.520173752857412,0.13460035622119904
0,0,1,00001_seed_00001,2,0.12056237459182739,0.2464035302400589,0.1258411556482315,2.043784647360139,0.2464035302400589
0,0,1,00001_seed_00001,3,0.16944564878940582,0.35157912969589233,0.1821334809064865,2.0748784770085758,0.35157912969589233
0,0,1,00001_seed_00001,4,0.21132001280784607,0.4690970778465271,0.25777706503868103,2.219842179704383,0.4690970778465271
0,0,1,00001_seed_00001,5,0.24340826272964478,0.5703372955322266,0.3269290328025818,2.3431303815914584,0.5703372955322266
0,0,1,00001_seed_00001,6,0.29690927267074585,0.7015790343284607,0.40466976165771484,2.362940800122699,0.7015790343284607
0,0,1,00001_seed_00001,7,0.33506181836128235,0.8466822504997253,0.511620432138443,2.526943399999057,0.8466822504997253
0,0,2,00002_seed_00001,0,0.0,0.0,0.0,0,0.0
0,0,2,00002_seed_00001,1,0.06798552721738815,0.22277618944644928,0.15479066222906113,3.2768178546899827,0.22277618944644928
0,0,2,00002_seed_00001,2,0.1142260953783989,0.31501689553260803,0.20079080015420914,2.757836503900845,0.31501689553260803
0,0,2,00002_seed_00001,3,0.16666527092456818,0.4843626022338867,0.31769733130931854,2.906199951237032,0.4843626022338867
0,0,2,00002_seed_00001,4,0.2175409197807312,0.5786758661270142,0.36113494634628296,2.660078235902865,0.5786758661270142
0,0,2,00002_seed_00001,5,0.2482684999704361,0.7973533272743225,0.5490848273038864,3.2116572475737826,0.7973533272743225
0,0,2,00002_seed_00001,6,0.30648553371429443,0.9262768030166626,0.6197912693023682,3.0222529324341196,0.9262768030166626
0,0,2,00002_seed_00001,7,0.32295316457748413,1.044864296913147,0.7219111323356628,3.235343113234796,1.044864296913147
0,0,3,00003_seed_00001,0,0.0,0.0,0.0,0,0.0
0,0,3,00003_seed_00001,1,0.08043082803487778,0.17873020470142365,0.09829937666654587,2.222160446040909,0.17873020470142365
0,0,3,00003_seed_00001,2,0.1275869756937027,0.24874870479106903,0.12116172909736633,1.9496402625628386,0.24874870479106903
0,0,3,00003_seed_00001,3,0.17959313094615936,0.3336523473262787,0.15405921638011932,1.8578235457474435,0.3336523473262787
0,0,3,00003_seed_00001,4,0.23160240054130554,0.37522053718566895,0.1436181366443634,1.6201064251005013,0.37522053718566895
0,0,3,00003_seed_00001,5,0.2882658541202545,0.37795019149780273,0.08968433737754822,1.3111167559239778,0.37795019149780273
0,0,3,00003_seed_00001,6,0.338195264339447,0.43488648533821106,0.09669122099876404,1.2859035332372808,0.43488648533821106
0,0,3,00003_seed_00001,7,0.3453521728515625,0.6076755523681641,0.26232337951660156,1.7595822471612248,0.6076755523681641
0,0,4,00004_seed_00001,0,0.0,0.0,0.0,0,0.0
0,0,4,00004_seed_00001,1,0.08806661516427994,0.2260199338197708,0.13795331865549088,2.5664655488138384,0.2260199338197708
0,0,4,00004_seed_00001,2,0.1451970785856247,0.4425617754459381,0.2973646968603134,3.0480074375942308,0.4425617754459381
0,0,4,00004_seed_00001,3,0.21223941445350647,0.6470770835876465,0.43483766913414,3.048807335121047,0.6470770835876465
0,0,4,00004_seed_00001,4,0.27105018496513367,0.8670385479927063,0.5959883630275726,3.1988118661650686,0.8670385479927063
0,0,4,00004_seed_00001,5,0.34453365206718445,1.0735259056091309,0.7289922535419464,3.1158811314019106,1.0735259056091309
0,0,4,00004_seed_00001,6,0.3933466970920563,1.3162765502929688,0.9229298532009125,3.346352111315469,1.3162765502929688
0,0,4,00004_seed_00001,7,0.4057990312576294,1.5599833726882935,1.154184341430664,3.8442264582389005,1.5599833726882935
0,0,5,00005_seed_00001,0,0.0,0.0,0.0,0,0.0
0,0,5,00005_seed_00001,1,0.08667320013046265,0.1759192943572998,0.08924609422683716,2.0296850017364276,0.1759192943572998
0,0,5,00005_seed_00001,2,0.15066246688365936,0.33330562710762024,0.18264316022396088,2.2122671558603697,0.33330562710762024
0,0,5,00005_seed_00001,3,0.19597411155700684,0.48002490401268005,0.2840507924556732,2.4494301833997385,0.48002490401268005
