dataset_idx,dataset_name,traj_idx,traj_name,frame_idx,clean_mean_partial_rms,adv_mean_partial_rms,adv_delta_mean_partial_rms,adv_ratio_mean_partial_rms,adv_delta_ratio_mean_partial_rms
0,0,0,00000_seed_00001,0,0.0,0.0,0.0,0,0.0
0,0,0,00000_seed_00001,1,0.9781103134155273,0.9781103134155273,0.0,1.0,0.9781103134155273
0,0,0,00000_seed_00001,2,1.9549589157104492,1.9549589157104492,0.0,1.0,1.9549589157104492
0,0,0,00000_seed_00001,3,2.930574655532837,2.930574893951416,2.384185791015625e-07,1.0000000813555725,2.930574893951416
0,0,0,00000_seed_00001,4,3.9049839973449707,3.9049839973449707,0.0,1.0,3.9049839973449707
0,0,0,00000_seed_00001,5,4.878215789794922,4.878215789794922,0.0,1.0,4.878215789794922
0,0,0,00000_seed_00001,6,5.850297451019287,5.850297451019287,0.0,1.0,5.850297451019287
0,0,0,00000_seed_00001,7,6.821261405944824,6.821261405944824,0.0,1.0,6.821261405944824
0,0,1,00001_seed_00001,0,0.0,0.0,0.0,0,0.0
0,0,1,00001_seed_00001,1,0.9216471910476685,0.9216471910476685,0.0,1.0,0.9216471910476685
0,0,1,00001_seed_00001,2,1.841294765472412,1.8412950038909912,2.384185791015625e-07,1.0000001294841996,1.8412950038909912
0,0,1,00001_seed_00001,3,2.758965015411377,2.758965015411377,0.0,1.0,2.758965015411377
0,0,1,00001_seed_00001,4,3.6746792793273926,3.6746795177459717,2.384185791015625e-07,1.0000000648814662,3.6746795177459717
0,0,1,00001_seed_00001,5,4.588450908660889,4.588450908660889,0.0,1.0,4.588450908660889
0,0,1,00001_seed_00001,6,5.500308990478516,5.500308990478516,0.0,1.0,5.500308990478516
0,0,1,00001_seed_00001,7,6.410275459289551,6.410275459289551,0.0,1.0,6.410275459289551
0,0,2,00002_seed_00001,0,0.0,0.0,0.0,0,0.0
0,0,2,00002_seed_00001,1,0.9539531469345093,0.9539531469345093,0.0,1.0,0.9539531469345093
0,0,2,00002_seed_00001,2,1.9063665866851807,1.9063665866851807,0.0,1.0,1.9063665866851807
0,0,2,00002_seed_00001,3,2.8572611808776855,2.8572611808776855,0.0,1.0,2.8572611808776855
0,0,2,00002_seed_00001,4,3.8066577911376953,3.8066577911376953,0.0,1.0,3.8066577911376953
0,0,2,00002_seed_00001,5,4.754577159881592,4.754577159881592,0.0,1.0,4.754577159881592
0,0,2,00002_seed_00001,6,5.701041221618652,5.701041221618652,0.0,1.0,5.701041221618652
0,0,2,00002_seed_00001,7,6.646070957183838,6.646070957183838,0.0,1.0,6.646070957183838
0,0,3,00003_seed_00001,0,0.0,0.0,0.0,0,0.0
0,0,3,00003_seed_00001,1,0.8808442950248718,0.8808443546295166,5.960464477539063e-08,1.0000000676676288,0.8808443546295166
0,0,3,00003_seed_00001,2,1.7586147785186768,1.7586147785186768,0.0,1.0,1.7586147785186768
0,0,3,00003_seed_00001,3,2.6333258152008057,2.6333258152008057,0.0,1.0,2.6333258152008057
0,0,3,00003_seed_00001,4,3.504991054534912,3.504991054534912,0.0,1.0,3.504991054534912
0,0,3,00003_seed_00001,5,4.37362003326416,4.37362003326416,0.0,1.0,4.37362003326416
0,0,3,00003_seed_00001,6,5.239230155944824,5.239230155944824,0.0,1.0,5.239230155944824
0,0,3,00003_seed_00001,7,6.101831436157227,6.101831436157227,0.0,1.0,6.101831436157227
0,0,4,00004_seed_00001,0,0.0,0.0,0.0,0,0.0
0,0,4,00004_seed_00001,1,1.0899375677108765,1.089937686920166,1.1920928955078125e-07,1.0000001093725852,1.089937686920166
0,0,4,00004_seed_00001,2,2.177340030670166,2.177340030670166,0.0,1.0,2.177340030670166
0,0,4,00004_seed_00001,3,3.2622132301330566,3.2622132301330566,0.0,1.0,3.2622132301330566
0,0,4,00004_seed_00001,4,4.344576835632324,4.344576835632324,0.0,1.0,4.344576835632324
0,0,4,00004_seed_00001,5,5.424434661865234,5.424435615539551,9.5367431640625e-07,1.000000175810822,5.424435615539551
0,0,4,00004_seed_00001,6,6.501811504364014,6.501811504364014,0.0,1.0,6.501811504364014
0,0,4,00004_seed_00001,7,7.5767011642456055,7.576701641082764,4.76837158203125e-07,1.0000000629346661,7.576701641082764
0,0,5,00005_seed_00001,0,0.0,0.0,0.0,0,0.0
0,0,5,00005_seed_00001,1,1.1636141538619995,1.1636141538619995,0.0,1.0,1.1636141538619995
0,0,5,00005_seed_00001,2,2.322575569152832,2.322575569152832,0.0,1.0,2.322575569152832
0,0,5,00005_seed_00001,3,3.4768571853637695,3.4768574237823486,2.384185791015625e-07,1.0000000685730148,3.4768574237823486
0,0,5,00005_seed_00001,4,4.626430034637451,4.626430034637451,0.0,1.0,4.626430034637451
0,0,5,00005_seed_00001,5,5.771274566650391,5.771274566650391,0.0,1.0,5.771274566650391
0,0,5,00005_seed_00001,6,6.911355972290039,6.911355972290039,0.0,1.0,6.911355972290039
0,0,5,00005_seed_00001,7,8.04664421081543,8.04664421081543,0.0,1.0,8.04664421081543
0,0,6,00006_seed_00001,0,0.0,0.0,0.0,0,0.0
0,0,6,00006_seed_00001,1,1.1003122329711914,1.1003122329711914,0.0,1.0,1.1003122329711914
0,0,6,00006_seed_00001,2,2.198439836502075,2.198439836502075,0.0,1.0,2.198439836502075
0,0,6,00006_seed_00001,3,3.294302463531494,3.294302463531494,0.0,1.0,3.294302463531494
0,0,6,00006_seed_00001,4,4.387815475463867,4.387815475463867,0.0,1.0,4.387815475463867
0,0,6,00006_seed_00001,5,5.478888511657715,5.478888511657715,0.0,1.0,5.478888511657715
0,0,6,00006_seed_00001,6,6.567434787750244,6.567434787750244,0.0,1.0,6.567434787750244
0,0,6,00006_seed_00001,7,7.653364181518555,7.653365135192871,9.5367431640625e-07,1.0000001246085113,7.653365135192871
0,0,7,00007_seed_00001,0,0.0,0.0,0.0,0,0.0
0,0,7,00007_seed_00001,1,1.189677119255066,1.189677119255066,0.0,1.0,1.189677119255066
0,0,7,00007_seed_00001,2,2.3737339973449707,2.3737339973449707,0.0,1.0,2.3737339973449707
