dataset_idx,dataset_name,traj_idx,traj_name,frame_idx,clean_target_rms,adv_target_rms,adv_delta_target_rms,adv_ratio_target_rms,adv_delta_ratio_target_rms
0,0,0,00000_seed_00001,0,0.0,0.0,0.0,0,0.0
0,0,0,00000_seed_00001,1,0.4156980514526367,0.4156980514526367,0.0,1.0,0.4156980514526367
0,0,0,00000_seed_00001,2,0.8313751220703125,0.8313751220703125,0.0,1.0,0.8313751220703125
0,0,0,00000_seed_00001,3,1.247071623802185,1.247071623802185,0.0,1.0,1.247071623802185
0,0,0,00000_seed_00001,4,1.6628015041351318,1.6628015041351318,0.0,1.0,1.6628015041351318
0,0,0,00000_seed_00001,5,2.078592538833618,2.078592538833618,0.0,1.0,2.078592538833618
0,0,0,00000_seed_00001,6,2.4944722652435303,2.4944722652435303,0.0,1.0,2.4944722652435303
0,0,0,00000_seed_00001,7,2.910456657409668,2.910456657409668,0.0,1.0,2.910456657409668
0,0,1,00001_seed_00001,0,0.0,0.0,0.0,0,0.0
0,0,1,00001_seed_00001,1,0.4017965793609619,0.4017965793609619,0.0,1.0,0.4017965793609619
0,0,1,00001_seed_00001,2,0.8033534288406372,0.803353488445282,5.960464477539063e-08,1.0000000741947972,0.803353488445282
0,0,1,00001_seed_00001,3,1.2047061920166016,1.2047063112258911,1.1920928955078125e-07,1.000000098952998,1.2047063112258911
0,0,1,00001_seed_00001,4,1.6058770418167114,1.605877161026001,1.1920928955078125e-07,1.0000000742331365,1.605877161026001
0,0,1,00001_seed_00001,5,2.006876230239868,2.0068764686584473,2.384185791015625e-07,1.0000001188008385,2.0068764686584473
0,0,1,00001_seed_00001,6,2.4077391624450684,2.4077391624450684,0.0,1.0,2.4077391624450684
0,0,1,00001_seed_00001,7,2.808476686477661,2.808476686477661,0.0,1.0,2.808476686477661
0,0,2,00002_seed_00001,0,0.0,0.0,0.0,0,0.0
0,0,2,00002_seed_00001,1,0.41318631172180176,0.41318628191947937,-2.9802322387695312e-08,0.9999999278719514,0.41318628191947937
0,0,2,00002_seed_00001,2,0.8261734247207642,0.8261734247207642,0.0,1.0,0.8261734247207642
