dataset_idx,dataset_name,traj_idx,traj_name,frame_idx,clean_target_rms,adv_target_rms,adv_delta_target_rms,adv_ratio_target_rms,adv_delta_ratio_target_rms
0,0,0,00000_seed_00001,0,0.0,0.0,0.0,0,0.0
0,0,0,00000_seed_00001,1,0.4156980514526367,0.4156980514526367,0.0,1.0,0.4156980514526367
0,0,0,00000_seed_00001,2,0.8313751220703125,0.8313751220703125,0.0,1.0,0.8313751220703125
0,0,0,00000_seed_00001,3,1.247071623802185,1.2470717430114746,1.1920928955078125e-07,1.0000000955913737,1.2470717430114746
0,0,0,00000_seed_00001,4,1.6628015041351318,1.6628016233444214,1.1920928955078125e-07,1.000000071691834,1.6628016233444214
0,0,0,00000_seed_00001,5,2.078592538833618,2.078592538833618,0.0,1.0,2.078592538833618
0,0,0,00000_seed_00001,6,2.4944725036621094,2.4944725036621094,0.0,1.0,2.4944725036621094
0,0,0,00000_seed_00001,7,2.910456657409668,2.910456895828247,2.384185791015625e-07,1.000000081917928,2.910456895828247
0,0,1,00001_seed_00001,0,0.0,0.0,0.0,0,0.0
0,0,1,00001_seed_00001,1,0.4017965793609619,0.4017966091632843,2.9802322387695312e-08,1.0000000741726633,0.4017966091632843
0,0,1,00001_seed_00001,2,0.8033534288406372,0.8033534288406372,0.0,1.0,0.8033534288406372
0,0,1,00001_seed_00001,3,1.2047061920166016,1.2047061920166016,0.0,1.0,1.2047061920166016
0,0,1,00001_seed_00001,4,1.6058770418167114,1.605877161026001,1.1920928955078125e-07,1.0000000742331365,1.605877161026001
0,0,1,00001_seed_00001,5,2.006876230239868,2.006876230239868,0.0,1.0,2.006876230239868
0,0,1,00001_seed_00001,6,2.4077391624450684,2.4077391624450684,0.0,1.0,2.4077391624450684
0,0,1,00001_seed_00001,7,2.808476686477661,2.808476686477661,0.0,1.0,2.808476686477661
0,0,2,00002_seed_00001,0,0.0,0.0,0.0,0,0.0
0,0,2,00002_seed_00001,1,0.413186252117157,0.41318628191947937,2.9802322387695312e-08,1.000000072128059,0.41318628191947937
0,0,2,00002_seed_00001,2,0.8261734247207642,0.8261734843254089,5.960464477539063e-08,1.0000000721454394,0.8261734843254089
