dataset_idx,dataset_name,traj_idx,traj_name,frame_idx,clean_target_mean_partial_rms,adv_target_mean_partial_rms,adv_delta_target_mean_partial_rms,adv_ratio_target_mean_partial_rms,adv_delta_ratio_target_mean_partial_rms
0,0,0,00000_seed_00001,0,0.0,0.0,0.0,0,0.0
0,0,0,00000_seed_00001,1,0.4156911075115204,0.4156911075115204,0.0,1.0,0.4156911075115204
0,0,0,00000_seed_00001,2,0.8313724398612976,0.8313724398612976,0.0,1.0,0.8313724398612976
0,0,0,00000_seed_00001,3,1.2470674514770508,1.2470674514770508,0.0,1.0,1.2470674514770508
0,0,0,00000_seed_00001,4,1.6627992391586304,1.66279935836792,1.1920928955078125e-07,1.0000000716919317,1.66279935836792
0,0,0,00000_seed_00001,5,2.078592300415039,2.078592300415039,0.0,1.0,2.078592300415039
0,0,0,00000_seed_00001,6,2.494469165802002,2.494469165802002,0.0,1.0,2.494469165802002
0,0,0,00000_seed_00001,7,2.910456657409668,2.910456895828247,2.384185791015625e-07,1.000000081917928,2.910456895828247
0,0,1,00001_seed_00001,0,0.0,0.0,0.0,0,0.0
0,0,1,00001_seed_00001,1,0.4017898440361023,0.4017898440361023,0.0,1.0,0.4017898440361023
0,0,1,00001_seed_00001,2,0.803350031375885,0.803350031375885,0.0,1.0,0.803350031375885
0,0,1,00001_seed_00001,3,1.2047028541564941,1.2047029733657837,1.1920928955078125e-07,1.0000000989532722,1.2047029733657837
0,0,1,00001_seed_00001,4,1.6058707237243652,1.6058707237243652,0.0,1.0,1.6058707237243652
0,0,1,00001_seed_00001,5,2.0068724155426025,2.0068724155426025,0.0,1.0,2.0068724155426025
0,0,1,00001_seed_00001,6,2.40773344039917,2.40773344039917,0.0,1.0,2.40773344039917
0,0,1,00001_seed_00001,7,2.808476686477661,2.808476686477661,0.0,1.0,2.808476686477661
0,0,2,00002_seed_00001,0,0.0,0.0,0.0,0,0.0
0,0,2,00002_seed_00001,1,0.4131906032562256,0.413190633058548,2.9802322387695312e-08,1.0000000721272995,0.413190633058548
