dataset_idx,dataset_name,traj_idx,traj_name,frame_idx,clean_rms,adv_rms,adv_delta_rms,adv_ratio_rms,adv_delta_ratio_rms
0,0,0,00000_seed_00001,0,0.0,0.0,0.0,0,0.0
0,0,0,00000_seed_00001,1,0.9781268239021301,0.9781267642974854,-5.960464477539063e-08,0.9999999390624577,0.9781267642974854
0,0,0,00000_seed_00001,2,1.9549647569656372,1.9549647569656372,0.0,1.0,1.9549647569656372
0,0,0,00000_seed_00001,3,2.93058443069458,2.93058443069458,0.0,1.0,2.93058443069458
0,0,0,00000_seed_00001,4,3.9049885272979736,3.9049887657165527,2.384185791015625e-07,1.0000000610548732,3.9049887657165527
0,0,0,00000_seed_00001,5,4.878215789794922,4.878215789794922,0.0,1.0,4.878215789794922
0,0,0,00000_seed_00001,6,5.850305557250977,5.850305557250977,0.0,1.0,5.850305557250977
0,0,0,00000_seed_00001,7,6.821261405944824,6.821261882781982,4.76837158203125e-07,1.0000000699045426,6.821261882781982
0,0,1,00001_seed_00001,0,0.0,0.0,0.0,0,0.0
0,0,1,00001_seed_00001,1,0.9216632843017578,0.9216634035110474,1.1920928955078125e-07,1.000000129341476,0.9216634035110474
0,0,1,00001_seed_00001,2,1.8413028717041016,1.8413028717041016,0.0,1.0,1.8413028717041016
0,0,1,00001_seed_00001,3,2.7589731216430664,2.7589731216430664,0.0,1.0,2.7589731216430664
0,0,1,00001_seed_00001,4,3.6746950149536133,3.6746954917907715,4.76837158203125e-07,1.0000001297623766,3.6746954917907715
0,0,1,00001_seed_00001,5,4.5884599685668945,4.5884599685668945,0.0,1.0,4.5884599685668945
0,0,1,00001_seed_00001,6,5.500322341918945,5.500322341918945,0.0,1.0,5.500322341918945
0,0,1,00001_seed_00001,7,6.410275459289551,6.410275459289551,0.0,1.0,6.410275459289551
0,0,2,00002_seed_00001,0,0.0,0.0,0.0,0,0.0
0,0,2,00002_seed_00001,1,0.9539421796798706,0.9539422988891602,1.1920928955078125e-07,1.0000001249649004,0.9539422988891602
0,0,2,00002_seed_00001,2,1.9063481092453003,1.9063482284545898,1.1920928955078125e-07,1.0000000625328023,1.9063482284545898
0,0,2,00002_seed_00001,3,2.857238292694092,2.857238292694092,0.0,1.0,2.857238292694092
0,0,2,00002_seed_00001,4,3.8066344261169434,3.8066346645355225,2.384185791015625e-07,1.0000000626323813,3.8066346645355225
0,0,2,00002_seed_00001,5,4.7545576095581055,4.7545576095581055,0.0,1.0,4.7545576095581055
0,0,2,00002_seed_00001,6,5.701028347015381,5.701028347015381,0.0,1.0,5.701028347015381
0,0,2,00002_seed_00001,7,6.646070957183838,6.646070957183838,0.0,1.0,6.646070957183838
0,0,3,00003_seed_00001,0,0.0,0.0,0.0,0,0.0
0,0,3,00003_seed_00001,1,0.8808515071868896,0.8808515071868896,0.0,1.0,0.8808515071868896
0,0,3,00003_seed_00001,2,1.7586268186569214,1.758626937866211,1.1920928955078125e-07,1.0000000677854382,1.758626937866211
0,0,3,00003_seed_00001,3,2.6333210468292236,2.6333210468292236,0.0,1.0,2.6333210468292236
0,0,3,00003_seed_00001,4,3.5049920082092285,3.5049920082092285,0.0,1.0,3.5049920082092285
0,0,3,00003_seed_00001,5,4.37363338470459,4.37363338470459,0.0,1.0,4.37363338470459
0,0,3,00003_seed_00001,6,5.2392377853393555,5.239238739013672,9.5367431640625e-07,1.000000182025393,5.239238739013672
0,0,3,00003_seed_00001,7,6.101831436157227,6.101831436157227,0.0,1.0,6.101831436157227
0,0,4,00004_seed_00001,0,0.0,0.0,0.0,0,0.0
0,0,4,00004_seed_00001,1,1.0899367332458496,1.0899367332458496,0.0,1.0,1.0899367332458496
0,0,4,00004_seed_00001,2,2.1773502826690674,2.1773502826690674,0.0,1.0,2.1773502826690674
0,0,4,00004_seed_00001,3,3.2622170448303223,3.2622170448303223,0.0,1.0,3.2622170448303223
0,0,4,00004_seed_00001,4,4.3445868492126465,4.344587326049805,4.76837158203125e-07,1.000000109754316,4.344587326049805
0,0,4,00004_seed_00001,5,5.424437046051025,5.424437522888184,4.76837158203125e-07,1.0000000879053723,5.424437522888184
0,0,4,00004_seed_00001,6,6.501815319061279,6.5018157958984375,4.76837158203125e-07,1.0000000733390806,6.5018157958984375
0,0,4,00004_seed_00001,7,7.5767011642456055,7.576701641082764,4.76837158203125e-07,1.0000000629346661,7.576701641082764
0,0,5,00005_seed_00001,0,0.0,0.0,0.0,0,0.0
0,0,5,00005_seed_00001,1,1.1636223793029785,1.1636223793029785,0.0,1.0,1.1636223793029785
0,0,5,00005_seed_00001,2,2.322584629058838,2.322584629058838,0.0,1.0,2.322584629058838
0,0,5,00005_seed_00001,3,3.4768614768981934,3.4768614768981934,0.0,1.0,3.4768614768981934
0,0,5,00005_seed_00001,4,4.626422882080078,4.626422882080078,0.0,1.0,4.626422882080078
0,0,5,00005_seed_00001,5,5.771275043487549,5.771275520324707,4.76837158203125e-07,1.0000000826224975,5.771275520324707
0,0,5,00005_seed_00001,6,6.91135835647583,6.911358833312988,4.76837158203125e-07,1.000000068993262,6.911358833312988
0,0,5,00005_seed_00001,7,8.04664421081543,8.04664421081543,0.0,1.0,8.04664421081543
0,0,6,00006_seed_00001,0,0.0,0.0,0.0,0,0.0
0,0,6,00006_seed_00001,1,1.1003057956695557,1.1003057956695557,0.0,1.0,1.1003057956695557
0,0,6,00006_seed_00001,2,2.1984221935272217,2.1984221935272217,0.0,1.0,2.1984221935272217
0,0,6,00006_seed_00001,3,3.2942886352539062,3.2942886352539062,0.0,1.0,3.2942886352539062
0,0,6,00006_seed_00001,4,4.387807369232178,4.387807369232178,0.0,1.0,4.387807369232178
0,0,6,00006_seed_00001,5,5.478878021240234,5.478878021240234,0.0,1.0,5.478878021240234
0,0,6,00006_seed_00001,6,6.567432403564453,6.567432403564453,0.0,1.0,6.567432403564453
0,0,6,00006_seed_00001,7,7.653364181518555,7.653365135192871,9.5367431640625e-07,1.0000001246085113,7.653365135192871
0,0,7,00007_seed_00001,0,0.0,0.0,0.0,0,0.0
0,0,7,00007_seed_00001,1,1.1896836757659912,1.1896836757659912,0.0,1.0,1.1896836757659912
0,0,7,00007_seed_00001,2,2.3737306594848633,2.3737306594848633,0.0,1.0,2.3737306594848633
0,0,7,00007_seed_00001,3,3.55210018157959,3.5520999431610107,-2.384185791015625e-07,0.9999999328795454,3.5520999431610107
0,0,7,00007_seed_00001,4,4.724684715270996,4.724684715270996,0.0,1.0,4.724684715270996
0,0,7,00007_seed_00001,5,5.891408920288086,5.891408920288086,0.0,1.0,5.891408920288086
0,0,7,00007_seed_00001,6,7.0521955490112305,7.0521955490112305,0.0,1.0,7.0521955490112305
0,0,7,00007_seed_00001,7,8.206962585449219,8.206962585449219,0.0,1.0,8.206962585449219
0,0,8,00008_seed_00001,0,0.0,0.0,0.0,0,0.0
0,0,8,00008_seed_00001,1,1.015174150466919,1.015174150466919,0.0,1.0,1.015174150466919
0,0,8,00008_seed_00001,2,2.029073715209961,2.02907395362854,2.384185791015625e-07,1.0000001175011914,2.02907395362854
0,0,8,00008_seed_00001,3,3.0417089462280273,3.0417089462280273,0.0,1.0,3.0417089462280273
0,0,8,00008_seed_00001,4,4.0530900955200195,4.0530900955200195,0.0,1.0,4.0530900955200195
0,0,8,00008_seed_00001,5,5.063224792480469,5.063224792480469,0.0,1.0,5.063224792480469
0,0,8,00008_seed_00001,6,6.072126388549805,6.072126865386963,4.76837158203125e-07,1.0000000785288592,6.072126865386963
0,0,8,00008_seed_00001,7,7.079806327819824,7.079806327819824,0.0,1.0,7.079806327819824
0,0,9,00009_seed_00001,0,0.0,0.0,0.0,0,0.0
0,0,9,00009_seed_00001,1,0.9892270565032959,0.9892271161079407,5.960464477539063e-08,1.000000060253755,0.9892271161079407
0,0,9,00009_seed_00001,2,1.9787099361419678,1.9787099361419678,0.0,1.0,1.9787099361419678
0,0,9,00009_seed_00001,3,2.968446731567383,2.968446731567383,0.0,1.0,2.968446731567383
0,0,9,00009_seed_00001,4,3.958435297012329,3.958435535430908,2.384185791015625e-07,1.0000000602305106,3.958435535430908
0,0,9,00009_seed_00001,5,4.948639392852783,4.948639392852783,0.0,1.0,4.948639392852783
0,0,9,00009_seed_00001,6,5.939023017883301,5.939023017883301,0.0,1.0,5.939023017883301
0,0,9,00009_seed_00001,7,6.9296159744262695,6.9296159744262695,0.0,1.0,6.9296159744262695
1,1,10,00010_seed_00001,0,0.0,0.0,0.0,0,0.0
1,1,10,00010_seed_00001,1,1.0041334629058838,1.0041334629058838,0.0,1.0,1.0041334629058838
1,1,10,00010_seed_00001,2,2.0064735412597656,2.0064735412597656,0.0,1.0,2.0064735412597656
1,1,10,00010_seed_00001,3,3.0070290565490723,3.0070290565490723,0.0,1.0,3.0070290565490723
1,1,10,00010_seed_00001,4,4.005807876586914,4.005808353424072,4.76837158203125e-07,1.0000001190364523,4.005808353424072
1,1,10,00010_seed_00001,5,5.00282096862793,5.00282096862793,0.0,1.0,5.00282096862793
1,1,10,00010_seed_00001,6,5.998075485229492,5.998075485229492,0.0,1.0,5.998075485229492
1,1,10,00010_seed_00001,7,6.991583824157715,6.991583824157715,0.0,1.0,6.991583824157715
1,1,11,00011_seed_00001,0,0.0,0.0,0.0,0,0.0
1,1,11,00011_seed_00001,1,1.1706864833831787,1.1706864833831787,0.0,1.0,1.1706864833831787
1,1,11,00011_seed_00001,2,2.3365769386291504,2.3365769386291504,0.0,1.0,2.3365769386291504
1,1,11,00011_seed_00001,3,3.4976820945739746,3.4976820945739746,0.0,1.0,3.4976820945739746
1,1,11,00011_seed_00001,4,4.653972625732422,4.65397310256958,4.76837158203125e-07,1.0000001024580927,4.65397310256958
1,1,11,00011_seed_00001,5,5.805460453033447,5.805460453033447,0.0,1.0,5.805460453033447
1,1,11,00011_seed_00001,6,6.952119827270508,6.952120304107666,4.76837158203125e-07,1.0000000685887427,6.952120304107666
1,1,11,00011_seed_00001,7,8.093993186950684,8.093993186950684,0.0,1.0,8.093993186950684
1,1,12,00012_seed_00001,0,0.0,0.0,0.0,0,0.0
1,1,12,00012_seed_00001,1,1.036389708518982,1.036389708518982,0.0,1.0,1.036389708518982
1,1,12,00012_seed_00001,2,2.071751594543457,2.071751594543457,0.0,1.0,2.071751594543457
1,1,12,00012_seed_00001,3,3.1060566902160645,3.1060566902160645,0.0,1.0,3.1060566902160645
1,1,12,00012_seed_00001,4,4.139345169067383,4.139345169067383,0.0,1.0,4.139345169067383
1,1,12,00012_seed_00001,5,5.171588897705078,5.171589374542236,4.76837158203125e-07,1.0000000922032217,5.171589374542236
1,1,12,00012_seed_00001,6,6.202794075012207,6.202794075012207,0.0,1.0,6.202794075012207
1,1,12,00012_seed_00001,7,7.233001708984375,7.233001708984375,0.0,1.0,7.233001708984375
1,1,13,00013_seed_00001,0,0.0,0.0,0.0,0,0.0
1,1,13,00013_seed_00001,1,1.1844087839126587,1.1844087839126587,0.0,1.0,1.1844087839126587
1,1,13,00013_seed_00001,2,2.363560676574707,2.363560676574707,0.0,1.0,2.363560676574707
1,1,13,00013_seed_00001,3,3.537395477294922,3.537395715713501,2.384185791015625e-07,1.0000000673994696,3.537395715713501
1,1,13,00013_seed_00001,4,4.7058210372924805,4.7058210372924805,0.0,1.0,4.7058210372924805
1,1,13,00013_seed_00001,5,5.868805885314941,5.868805885314941,0.0,1.0,5.868805885314941
1,1,13,00013_seed_00001,6,7.026256561279297,7.026256561279297,0.0,1.0,7.026256561279297
1,1,13,00013_seed_00001,7,8.178106307983398,8.178106307983398,0.0,1.0,8.178106307983398
1,1,14,00014_seed_00001,0,0.0,0.0,0.0,0,0.0
1,1,14,00014_seed_00001,1,1.1269910335540771,1.1269910335540771,0.0,1.0,1.1269910335540771
1,1,14,00014_seed_00001,2,2.250509023666382,2.250509023666382,0.0,1.0,2.250509023666382
1,1,14,00014_seed_00001,3,3.370502471923828,3.370502471923828,0.0,1.0,3.370502471923828
1,1,14,00014_seed_00001,4,4.486988544464111,4.486988544464111,0.0,1.0,4.486988544464111
1,1,14,00014_seed_00001,5,5.599915027618408,5.599915027618408,0.0,1.0,5.599915027618408
1,1,14,00014_seed_00001,6,6.7092976570129395,6.709298133850098,4.76837158203125e-07,1.000000071071099,6.709298133850098
1,1,14,00014_seed_00001,7,7.8150835037231445,7.8150835037231445,0.0,1.0,7.8150835037231445
1,1,15,00015_seed_00001,0,0.0,0.0,0.0,0,0.0
1,1,15,00015_seed_00001,1,1.0636917352676392,1.0636917352676392,0.0,1.0,1.0636917352676392
1,1,15,00015_seed_00001,2,2.1243934631347656,2.1243934631347656,0.0,1.0,2.1243934631347656
1,1,15,00015_seed_00001,3,3.1821374893188477,3.1821374893188477,0.0,1.0,3.1821374893188477
1,1,15,00015_seed_00001,4,4.2369561195373535,4.236956596374512,4.76837158203125e-07,1.0000001125423876,4.236956596374512
1,1,15,00015_seed_00001,5,5.288850784301758,5.288850784301758,0.0,1.0,5.288850784301758
1,1,15,00015_seed_00001,6,6.337887763977051,6.337887763977051,0.0,1.0,6.337887763977051
1,1,15,00015_seed_00001,7,7.384036064147949,7.384036064147949,0.0,1.0,7.384036064147949
1,1,16,00016_seed_00001,0,0.0,0.0,0.0,0,0.0
1,1,16,00016_seed_00001,1,1.1576926708221436,1.1576926708221436,0.0,1.0,1.1576926708221436
1,1,16,00016_seed_00001,2,2.3117244243621826,2.3117244243621826,0.0,1.0,2.3117244243621826
1,1,16,00016_seed_00001,3,3.4620542526245117,3.4620542526245117,0.0,1.0,3.4620542526245117
1,1,16,00016_seed_00001,4,4.608606338500977,4.608606338500977,0.0,1.0,4.608606338500977
1,1,16,00016_seed_00001,5,5.751369953155518,5.751369953155518,0.0,1.0,5.751369953155518
1,1,16,00016_seed_00001,6,6.890267372131348,6.890267372131348,0.0,1.0,6.890267372131348
1,1,16,00016_seed_00001,7,8.025287628173828,8.025287628173828,0.0,1.0,8.025287628173828
1,1,17,00017_seed_00001,0,0.0,0.0,0.0,0,0.0
1,1,17,00017_seed_00001,1,1.0032546520233154,1.0032546520233154,0.0,1.0,1.0032546520233154
1,1,17,00017_seed_00001,2,2.005711317062378,2.005711317062378,0.0,1.0,2.005711317062378
1,1,17,00017_seed_00001,3,3.0074009895324707,3.0074009895324707,0.0,1.0,3.0074009895324707
1,1,17,00017_seed_00001,4,4.00828742980957,4.0082879066467285,4.76837158203125e-07,1.0000001189628156,4.0082879066467285
1,1,17,00017_seed_00001,5,5.008368492126465,5.008369445800781,9.5367431640625e-07,1.000000190416164,5.008369445800781
1,1,17,00017_seed_00001,6,6.007640838623047,6.007640838623047,0.0,1.0,6.007640838623047
1,1,17,00017_seed_00001,7,7.006101608276367,7.006101608276367,0.0,1.0,7.006101608276367
1,1,18,00018_seed_00001,0,0.0,0.0,0.0,0,0.0
1,1,18,00018_seed_00001,1,1.1711153984069824,1.1711153984069824,0.0,1.0,1.1711153984069824
1,1,18,00018_seed_00001,2,2.3379900455474854,2.3379902839660645,2.384185791015625e-07,1.0000001019758744,2.3379902839660645
1,1,18,00018_seed_00001,3,3.5005831718444824,3.5005831718444824,0.0,1.0,3.5005831718444824
1,1,18,00018_seed_00001,4,4.658884525299072,4.658884525299072,0.0,1.0,4.658884525299072
1,1,18,00018_seed_00001,5,5.812817096710205,5.812817573547363,4.76837158203125e-07,1.0000000820320252,5.812817573547363
1,1,18,00018_seed_00001,6,6.962335109710693,6.962335109710693,0.0,1.0,6.962335109710693
1,1,18,00018_seed_00001,7,8.107392311096191,8.107392311096191,0.0,1.0,8.107392311096191
1,1,19,00019_seed_00001,0,0.0,0.0,0.0,0,0.0
1,1,19,00019_seed_00001,1,1.0637882947921753,1.0637882947921753,0.0,1.0,1.0637882947921753
1,1,19,00019_seed_00001,2,2.1256039142608643,2.1256039142608643,0.0,1.0,2.1256039142608643
1,1,19,00019_seed_00001,3,3.1854910850524902,3.1854910850524902,0.0,1.0,3.1854910850524902
1,1,19,00019_seed_00001,4,4.243463039398193,4.243463516235352,4.76837158203125e-07,1.0000001123698155,4.243463516235352
1,1,19,00019_seed_00001,5,5.299528121948242,5.299528121948242,0.0,1.0,5.299528121948242
